Titulo,Endereço,Area,Preço,Quartos,Banheiros,Vagas
"  Apartamento com 2 Quartos à Venda, 72m²  ","Rua Antônio de Albuquerque, 230 - Savassi, Belo Horizonte - MG",72,   R$ 890.000   ,2,2,2
"  Apartamento com 3 Quartos à Venda, 57m²  ","Rua dos Borges, 990 - Jardim Vitória, Belo Horizonte - MG",57,   R$ 185.000   ,3,1,1
"  Apartamento com 4 Quartos à Venda, 121m²  ","Rua Sagarana, 182 - São Pedro, Belo Horizonte - MG",121,   R$ 1.255.000   ,4,4,3
"  Apartamento com 2 Quartos à Venda, 51m²  ","Rua Carmelita Prates da Silva, 424 - Salgado Filho, Belo Horizonte - MG",51,   R$ 285.000   ,2,2,1
"  Apartamento com 3 Quartos à Venda, 93m²  ","Rua dos Guajajaras, 201 - Boa Viagem, Belo Horizonte - MG",93,   R$ 749.000   ,3,3,2
"  Apartamento com 3 Quartos à Venda, 99m²  ","Rua dos Expedicionários - Santa Amélia, Belo Horizonte - MG",99,   R$ 349.000   ,3,3,  --     
"  Apartamento com 3 Quartos à Venda, 80m²  ","Rua Boninas, 120 - Esplanada, Belo Horizonte - MG",80,   R$ 409.000   ,3,3,2
"  Apartamento com 3 Quartos à Venda, 100m²  ","Rua Garret, 80 - Grajaú, Belo Horizonte - MG",100,   R$ 595.000   ,3,3,2
"  Apartamento com 3 Quartos à Venda, 123m²  ","Rua Oswaldo Crivellari - Santa Rosa, Belo Horizonte - MG",123,   R$ 650.000   ,3,3,2
"  Apartamento com 2 Quartos à Venda, 70m²  ","Rua Pedra Bonita - Barroca, Belo Horizonte - MG",70,   R$ 489.000   ,2,2,2
"  Apartamento com 2 Quartos à Venda, 75m²  ","Rua José Hemetério Andrade, 558 - Buritis, Belo Horizonte - MG",75,   R$ 329.000   ,2,1,1
"  Apartamento com 3 Quartos à Venda, 80m²  ","Rua Professor Coelho Júnior, 22 - Planalto, Belo Horizonte - MG",80,   R$ 398.000   ,3,2,2
"  Apartamento com 3 Quartos à Venda, 102m²  ","Rua Sebastião Fabiano Dias, 233 - Belvedere, Belo Horizonte - MG",102,   R$ 850.000   ,3,3,2
"  Apartamento com 2 Quartos à Venda, 63m²  ","Rua Paulo Afonso, 400 - Santo Antônio, Belo Horizonte - MG",63,   R$ 610.000   ,2,3,2
"  Apartamento com 2 Quartos à Venda, 74m²  ","Rua Paraíba, 832 - Santa Efigênia, Belo Horizonte - MG",74,   R$ 650.000   ,2,3,2
"  Apartamento com 3 Quartos à Venda, 86m²  ","Rua Izabel Bueno, 373 - Indaiá, Belo Horizonte - MG",86,   R$ 375.000   ,3,2,1
"  Apartamento com 2 Quartos à Venda, 60m²  ","Rua Gustavo Ladeira, 11 - Paquetá, Belo Horizonte - MG",60,   R$ 260.000   ,2,2,1
"  Apartamento com 3 Quartos à Venda, 82m²  ","Avenida dos Engenheiros, 500 - Castelo, Belo Horizonte - MG",82,   R$ 330.000   ,3,2,2
"  Apartamento com 4 Quartos à Venda, 109m²  ","Rua Ilacir Pereira Lima, 267 - Silveira, Belo Horizonte - MG",109,   R$ 800.000   ,4,3,2
"  Apartamento com 4 Quartos à Venda, 451m²  ","Rua Ernani Agricola, 410 - Buritis, Belo Horizonte - MG",451,   R$ 1.550.000   ,4,3,3
"  Apartamento com 3 Quartos à Venda, 105m²  ","Rua Gonçalves Veloso, 223 - Coração de Jesus, Belo Horizonte - MG",105,   R$ 680.000   ,3,3,2
"  Apartamento com 2 Quartos à Venda, 114m²  ","Rua dos Timbiras, 395 - Funcionários, Belo Horizonte - MG",114,   R$ 1.012.825   ,2,2,2
"  Apartamento com 3 Quartos à Venda, 75m²  ","Rua Lorena, 962 - Padre Eustáquio, Belo Horizonte - MG",75,   R$ 390.000   ,3,2,2
"  Apartamento com 4 Quartos à Venda, 176m²  ","Sion, Belo Horizonte - MG",176,   R$ 800.000   ,4,3,3
"  Apartamento com 3 Quartos à Venda, 138m²  ","Rua Pirite, 67 - Santa Tereza, Belo Horizonte - MG",138,   R$ 715.000   ,3,3,3
"  Apartamento com 3 Quartos à Venda, 105m²  ","Rua Santa Catarina, 1036 - Lourdes, Belo Horizonte - MG",105,   R$ 1.370.000   ,3,3,2
"  Apartamento com 3 Quartos à Venda, 171m²  ","Rua Engenheiro Zoroastro Torres, 35 - Santo Antônio, Belo Horizonte - MG",171,   R$ 690.000   ,3,3,2
"  Apartamento com 2 Quartos à Venda, 81m²  ","Rua Castelo Guimarães, 588 - Castelo, Belo Horizonte - MG",81,   R$ 315.000   ,2,1,1
"  Apartamento com 2 Quartos à Venda, 52m²  ","Rua Conceição da Barra, 630 - Coqueiros, Belo Horizonte - MG",52,   R$ 168.000   ,2,1,1
"  Apartamento com 4 Quartos à Venda, 180m²  ","Rua Bernardo Guimarães, 1220 - Boa Viagem, Belo Horizonte - MG",180,   R$ 2.350.000   ,4,4,3
"  Apartamento com 2 Quartos à Venda, 60m²  ","Rua Itajubá, 2225 - Sagrada Família, Belo Horizonte - MG",60,   R$ 345.000   ,2,2,2
"  Apartamento com 2 Quartos à Venda, 43m²  ","Rua Cata Preta, 459 - João Pinheiro, Belo Horizonte - MG",43,   R$ 175.000   ,2,1,1
"  Apartamento com 3 Quartos à Venda, 1000m²  ","Avenida Vilarinho, 1731 - Venda Nova, Belo Horizonte - MG",1000,   R$ 250.000   ,3,2,1
"  Apartamento com 2 Quartos à Venda, 94m²  ","Rua Ramalhete - Anchieta, Belo Horizonte - MG",94,   R$ 330.000   ,2,2,  --     
"  Apartamento com 3 Quartos à Venda, 80m²  ","Rua Poruína - Salgado Filho, Belo Horizonte - MG",80,   R$ 499.000   ,3,3,2
"  Apartamento com 4 Quartos à Venda, 400m²  ","Rua Felipe dos Santos, 760 - Lourdes, Belo Horizonte - MG",400,   R$ 3.990.000   ,4,6,5
"  Apartamento com 4 Quartos à Venda, 195m²  ","Rua Alvarenga Peixoto, 444 - Lourdes, Belo Horizonte - MG",195,   R$ 1.800.000   ,4,4,4
"  Apartamento com 3 Quartos à Venda, 105m²  ","Rua Gentios, 273 - Coração de Jesus, Belo Horizonte - MG",105,   R$ 632.000   ,3,3,2
"  Apartamento com 2 Quartos à Venda, 60m²  ","Rua Professora Mírian Silvestre - Serra Verde (Venda Nova), Belo Horizonte - MG",60,   R$ 185.000   ,2,1,2
"  Apartamento com 3 Quartos à Venda, 74m²  ","Rua Cyro Vaz de Melo - Dona Clara, Belo Horizonte - MG",74,   R$ 465.000   ,3,2,2
"  Apartamento com 3 Quartos à Venda, 68m²  ","Rua Flor-de-fogo, 65 - Liberdade, Belo Horizonte - MG",68,   R$ 495.000   ,3,2,1
"  Apartamento com 4 Quartos à Venda, 174m²  ","Rua dos Inconfidentes, 443 - Funcionários, Belo Horizonte - MG",174,   R$ 2.450.000   ,4,5,4
"  Apartamento com 2 Quartos à Venda, 58m²  ","Rua José Carvalho Monteiro - Fernão Dias, Belo Horizonte - MG",58,   R$ 280.000   ,2,2,1
"  Apartamento com 3 Quartos à Venda, 94m²  ","Anchieta, Belo Horizonte - MG",94,   R$ 740.000   ,3,2,2
"  Apartamento com 3 Quartos à Venda, 75m²  ","Rua Monte Simplon, 580 - Nova Suíssa, Belo Horizonte - MG",75,   R$ 530.000   ,3,3,2
"  Apartamento com 2 Quartos à Venda, 70m²  ","Serra, Belo Horizonte - MG",70,   R$ 298.000   ,2,2,1
"  Apartamento com  Quarto à Venda, 30m²  ","Rua Gonçalves Dias, 2299 - Lourdes, Belo Horizonte - MG",30,   R$ 195.000   ,1,1,  --     
"  Apartamento com 3 Quartos à Venda, 110m²  ","Rua Cândido Nogueira, 20 - Grajaú, Belo Horizonte - MG",110,   R$ 270.000   ,3,3,1
"  Apartamento com 3 Quartos à Venda, 72m²  ","Rua Aluísio Lobão Veras, 201 - Serrano, Belo Horizonte - MG",72,   R$ 230.000   ,3,1,1
"  Apartamento com 3 Quartos à Venda, 85m²  ","Marçola, Belo Horizonte - MG",85,   R$ 430.000   ,3,2,2
"  Apartamento com 4 Quartos à Venda, 110m²  ","Rua Pedra Bonita, 1088 - Barroca, Belo Horizonte - MG",110,   R$ 935.000   ,4,3,3
"  Apartamento com 3 Quartos à Venda, 105m²  ","Rua Almirante Tamandaré, 488 - Gutierrez, Belo Horizonte - MG",105,   R$ 495.000   ,3,3,1
"  Apartamento com 4 Quartos à Venda, 220m²  ","Rua Califórnia, 377 - Sion, Belo Horizonte - MG",220,   R$ 1.850.000   ,4,3,  --     
"  Apartamento com 2 Quartos à Venda, 93m²  ","Rua Paulo Diniz Carneiro - Buritis, Belo Horizonte - MG",93,   R$ 319.000   ,2,2,2
"  Apartamento com 4 Quartos à Venda, 305m²  ","Rua dos Tupis, 287 - Centro, Belo Horizonte - MG",305,   R$ 830.000   ,4,4,1
"  Apartamento com 3 Quartos à Venda, 110m²  ","Cruzeiro, Belo Horizonte - MG",110,   R$ 800.000   ,3,3,2
"  Apartamento com 3 Quartos à Venda, 75m²  ","Rua Frei Cipriano, 44 - Nova Cachoeirinha, Belo Horizonte - MG",75,   R$ 230.000   ,3,2,1
"  Apartamento com 3 Quartos à Venda, 70m²  ","Rua Belfort Roxo, 275 - Nova Granada, Belo Horizonte - MG",70,   R$ 250.000   ,3,2,1
"  Apartamento com 4 Quartos à Venda, 141m²  ","Rua Alto da Mata - Sagrada Família, Belo Horizonte - MG",141,   R$ 1.300.000   ,4,4,3
"  Apartamento com 2 Quartos à Venda, 61m²  ","Rua Bento Mendes Castanheira, 40 - Dona Clara, Belo Horizonte - MG",61,   R$ 455.000   ,2,2,  --     
"  Apartamento com 3 Quartos à Venda, 74m²  ","Rua Sagres, 65 - Prado, Belo Horizonte - MG",74,   R$ 550.000   ,3,2,2
"  Apartamento com 3 Quartos à Venda, 90m²  ","Luxemburgo, Belo Horizonte - MG",90,   R$ 820.000   ,3,3,2
"  Apartamento com 3 Quartos à Venda, 85m²  ","Rua Alto da Mata, 230 - Sagrada Família, Belo Horizonte - MG",85,   R$ 655.000   ,3,3,2
"  Apartamento com 3 Quartos à Venda, 119m²  ","Rua Fernandes Tourinho, 408 - Savassi, Belo Horizonte - MG",119,   R$ 682.000   ,3,2,1
"  Apartamento com 2 Quartos à Venda, 50m²  ","Rua José Luiz Azevedo, 186 - Frei Leopoldo, Belo Horizonte - MG",50,   R$ 124.000   ,2,1,1
