Titulo,Endereço,Area,Preço,Quartos,Banheiros,Vagas
"  Apartamento com 3 Quartos à Venda, 90m²  ","Rua Grajaú, 138 - Grajaú, Rio de Janeiro - RJ", 90 ,   R$ 675.000   ,  3     ,3,  2     
"  Apartamento com 3 Quartos à Venda, 130m²  ","Rua José Higino, 309 - Tijuca, Rio de Janeiro - RJ", 130 ,   R$ 850.000   ,  3     ,3,  1     
"  Apartamento com 2 Quartos à Venda, 80m²  ","Rua do Humaitá, 244 - Humaitá, Rio de Janeiro - RJ", 80 ,   R$ 1.200.000   ,  2     ,2,  1     
"  Apartamento com 4 Quartos à Venda, 214m²  ","Praça Ministro Victor Nunes Leal, 88 - Barra da Tijuca, Rio de Janeiro - RJ", 214 ,   R$ 1.800.000   ,  4     ,5,  3     
"  Apartamento com 2 Quartos à Venda, 79m²  ","Rua Adalberto Ferreira - Leblon, Rio de Janeiro - RJ", 79 ,   R$ 1.620.000   ,  2     ,3,  1     
"  Apartamento com 3 Quartos à Venda, 128m²  ","Rua Gago Coutinho, 77 - Laranjeiras, Rio de Janeiro - RJ", 128 ,   R$ 980.000   ,  3     ,3,  1     
"  Apartamento com 2 Quartos à Venda, 85m²  ","Rua Capistrano de Abreu, 28 - Botafogo, Rio de Janeiro - RJ", 85 ,   R$ 1.099.000   ,  2     ,3,  1     
"  Apartamento com  Quarto à Venda, 49m²  ","Rua Professor Saldanha, 81 - Lagoa, Rio de Janeiro - RJ", 49 ,   R$ 1.000.000   ,  1     ,1,  1     
"  Apartamento com 2 Quartos à Venda, 55m²  ","Rua Mapendi, 730 - Taquara, Rio de Janeiro - RJ", 55 ,   R$ 320.000   ,  2     ,2,  1     
"  Apartamento com 2 Quartos à Venda, 58m²  ","Avenida São Josemaria Escrivá, 560 - Itanhangá, Rio de Janeiro - RJ", 58 ,   R$ 215.000   ,  2     ,2,  1     
"  Apartamento com 2 Quartos à Venda, 77m²  ","Rua General Venâncio Flores, 481 - Leblon, Rio de Janeiro - RJ", 77 ,   R$ 1.900.000   ,  2     ,3,  1     
"  Apartamento com 3 Quartos à Venda, 98m²  ","Avenida Embaixador Abelardo Bueno, 3600 - Barra da Tijuca, Rio de Janeiro - RJ", 98 ,   R$ 590.000   ,  3     ,3,  1     
"  Apartamento com 4 Quartos à Venda, 213m²  ","Rua Bulhões de Carvalho, 296 - Copacabana, Rio de Janeiro - RJ", 213 ,   R$ 1.950.000   ,  4     ,3,  1     
"  Apartamento com 3 Quartos à Venda, 91m²  ","Avenida Flamboyants da Península, 100 - Barra da Tijuca, Rio de Janeiro - RJ", 91 ,   R$ 980.000   ,  3     ,3,  1     
"  Apartamento com 2 Quartos à Venda, 65m²  ","Rua Conde de Baependi, 62 - Flamengo, Rio de Janeiro - RJ", 65 ,   R$ 790.000   ,  2     ,2,  1     
"  Apartamento com 2 Quartos à Venda, 61m²  ","Rua Farme de Amoedo, 150 - Ipanema, Rio de Janeiro - RJ", 61 ,   R$ 1.100.000   ,  2     ,1,  1     
"  Apartamento com 4 Quartos à Venda, 150m²  ","Avenida Lúcio Costa, 3602 - Barra da Tijuca, Rio de Janeiro - RJ", 150 ,   R$ 2.750.000   ,  4     ,4,  2     
"  Apartamento com  Quarto à Venda, 57m²  ","Praça Saenz Peña, 55 - Tijuca, Rio de Janeiro - RJ", 57 ,   R$ 250.000   ,  1     ,1,  --     
"  Apartamento com 4 Quartos à Venda, 286m²  ","Avenida Portugal, 80 - Urca, Rio de Janeiro - RJ", 286 ,   R$ 5.500.000   ,  4     ,5,  4     
"  Apartamento com 2 Quartos à Venda, 73m²  ","Rua Dona Mariana, 210 - Botafogo, Rio de Janeiro - RJ", 73 ,   R$ 890.000   ,  2     ,2,  1     
"  Apartamento com 2 Quartos à Venda, 90m²  ","Rua Porto Seguro, 250 - Jardim Guanabara, Rio de Janeiro - RJ", 90 ,   R$ 490.000   ,  2     ,2,  2     
"  Apartamento com 3 Quartos à Venda, 141m²  ","Rua Prudente de Morais, 237 - Ipanema, Rio de Janeiro - RJ", 141 ,   R$ 2.600.000   ,  3     ,4,  2     
"  Apartamento com 2 Quartos à Venda, 60m²  ","Rua Pedro Teles, 651 - Praça Seca, Rio de Janeiro - RJ", 60 ,   R$ 165.000   ,  2     ,1,  1     
"  Apartamento com  Quarto à Venda, 35m²  ","Rua Adelaide Alambari, 135 - Paquetá, Rio de Janeiro - RJ", 35 ,   R$ 200.000   ,  1     ,1,  --     
"  Apartamento com  Quarto à Venda, 49m²  ","Rua Jangadeiros, 15 - Ipanema, Rio de Janeiro - RJ", 49 ,   R$ 629.000   ,  1     ,1,  --     
"  Apartamento com 2 Quartos à Venda, 68m²  ","Rua Francisco de Paula, 526 - Jacarepaguá, Rio de Janeiro - RJ", 68 ,   R$ 395.000   ,  2     ,2,  1     
"  Apartamento com 2 Quartos à Venda, 83m²  ","Rua Barão de Mesquita, 390 - Vila Isabel, Rio de Janeiro - RJ", 83 ,   R$ 600.000   ,  2     ,2,  1     
"  Apartamento com 3 Quartos à Venda, 69m²  ","Estrada Cachamorra, 2011 - Campo Grande, Rio de Janeiro - RJ", 69 ,   R$ 349.900   ,  3     ,2,  1     
