Titulo,Endereço,Area,Preço,Quartos,Banheiros,Vagas
"  Apartamento com 2 Quartos à Venda, 67m²  ","Rua Doutor Salvador Franca, 1070 - Jardim Botânico, Porto Alegre - RS",67,   R$ 290.000   ,2,1,1
"  Apartamento com 2 Quartos à Venda, 80m²  ","Avenida Lavras, 289 - Petrópolis, Porto Alegre - RS",80,   R$ 410.000   ,2,2,1
"  Apartamento com 2 Quartos à Venda, 47m²  ","Avenida Protásio Alves, 9277 - Morro Santana, Porto Alegre - RS",47,   R$ 230.000   ,2,1,1
"  Apartamento com 3 Quartos à Venda, 75m²  ","Rua Jari, 740 - Passo da Areia, Porto Alegre - RS",75,   R$ 589.000   ,3,2,2
"  Apartamento com 3 Quartos à Venda, 80m²  ","Rua Anita Garibaldi, 1144 - Mont Serrat, Porto Alegre - RS",80,   R$ 700.000   ,3,3,1
"  Apartamento com 3 Quartos à Venda, 162m²  ","Rua Curvelo, 200 - Petrópolis, Porto Alegre - RS",162,   R$ 2.280.000   ,3,5,3
"  Apartamento com 2 Quartos à Venda, 79m²  ","Avenida Protásio Alves, 6237 - Petrópolis, Porto Alegre - RS",79,   R$ 235.000   ,2,1,1
"  Apartamento com 3 Quartos à Venda, 154m²  ","Rua Primeiro de Janeiro, 150 - Três Figueiras, Porto Alegre - RS",154,   R$ 1.885.000   ,3,5,2
"  Apartamento com 2 Quartos à Venda, 68m²  ","Rua Visconde de Duprat, 261 - Petrópolis, Porto Alegre - RS",68,   R$ 549.000   ,2,2,1
"  Apartamento com 2 Quartos à Venda, 64m²  ","Rua Olavo Dutra, 85 - Partenon, Porto Alegre - RS",64,   R$ 289.000   ,2,1,1
"  Apartamento com 3 Quartos à Venda, 69m²  ","Rua Ney da Gama Ahrends, 295 - Morro Santana, Porto Alegre - RS",69,   R$ 295.000   ,3,2,1
"  Apartamento com 2 Quartos à Venda, 88m²  ","Rua Fernando Cortez, 465 - Cristo Redentor, Porto Alegre - RS",88,   R$ 499.000   ,2,2,2
"  Apartamento com 3 Quartos à Venda, 98m²  ","Rua Costa, 444 - Menino Deus, Porto Alegre - RS",98,   R$ 810.000   ,3,3,2
"  Apartamento com 3 Quartos à Venda, 72m²  ","Rua Teotônia, 300 - Camaquã, Porto Alegre - RS",72,   R$ 429.900   ,3,2,1
"  Apartamento com 3 Quartos à Venda, 115m²  ","Rua Filadélfia, 169 - São João, Porto Alegre - RS",115,   R$ 890.000   ,3,3,2
"  Apartamento com 3 Quartos à Venda, 115m²  ","Rua Fernandes Vieira - Bom Fim, Porto Alegre - RS",115,   R$ 426.000   ,3,1,  --     
"  Apartamento com 3 Quartos à Venda, 150m²  ","Rua Toroquá, 295 - Passo da Areia, Porto Alegre - RS",150,   R$ 420.000   ,3,2,3
"  Apartamento com  Quarto à Venda, 43m²  ","Rua Anita Garibaldi, 2340 - Boa Vista, Porto Alegre - RS",43,   R$ 252.500   ,1,1,  --     
"  Apartamento com 2 Quartos à Venda, 43m²  ","Rua Riachuelo, 1268 - Centro Histórico, Porto Alegre - RS",43,   R$ 225.000   ,2,1,  --     
"  Apartamento com 3 Quartos à Venda, 120m²  ","Rua Acélio Daudt, 30 - Passo da Areia, Porto Alegre - RS",120,   R$ 1.200.000   ,3,2,2
"  Apartamento com 3 Quartos à Venda, 85m²  ","Rua Coronel Jaime da Costa Pereira, 269 - Partenon, Porto Alegre - RS",85,   R$ 420.000   ,3,2,1
"  Apartamento com  Quarto à Venda, 39m²  ","Avenida A. J. Renner, 1800 - Humaitá, Porto Alegre - RS",39,   R$ 219.000   ,1,1,1
"  Apartamento com 2 Quartos à Venda, 64m²  ","Rua Carazinho - Petrópolis, Porto Alegre - RS",64,   R$ 288.000   ,2,1,1
"  Apartamento com  Quarto à Venda, 50m²  ","Rua Marechal Francisco Antônio Bitencourt, 30 - Jardim Leopoldina, Porto Alegre - RS",50,   R$ 96.000   ,1,1,  --     
"  Apartamento com 3 Quartos à Venda, 126m²  ","Rua Laurindo, 426 - Santana, Porto Alegre - RS",126,   R$ 330.000   ,3,2,  --     
"  Apartamento com  Quarto à Venda, 46m²  ","Rua Professor Cristiano Fischer, 1216 - Jardim do Salso, Porto Alegre - RS",46,   R$ 235.000   ,1,1,1
"  Apartamento com 2 Quartos à Venda, 44m²  ","Avenida Juscelino Kubitschek de Oliveira, 570 - Jardim Leopoldina, Porto Alegre - RS",44,   R$ 169.300   ,2,1,1
"  Apartamento com 2 Quartos à Venda, 95m²  ","Rua Dário Pederneiras, 503 - Petrópolis, Porto Alegre - RS",95,   R$ 680.000   ,2,3,2
"  Apartamento com 2 Quartos à Venda, 110m²  ","Rua Desembargador Alves Nogueira - Petrópolis, Porto Alegre - RS",110,   R$ 1.197.000   ,2,2,2
"  Apartamento com 2 Quartos à Venda, 41m²  ","Avenida Juscelino Kubitschek de Oliveira - Jardim Leopoldina, Porto Alegre - RS",41,   R$ 115.000   ,2,1,1
"  Apartamento com 2 Quartos à Venda, 67m²  ","Rua Coronel Corte Real - Petrópolis, Porto Alegre - RS",67,   R$ 540.000   ,2,2,1
"  Apartamento com 3 Quartos à Venda, 68m²  ","Travessa Escobar, 429 - Camaquã, Porto Alegre - RS",68,   R$ 210.000   ,3,1,  --     
"  Apartamento com 2 Quartos à Venda, 50m²  ","Petrópolis, Porto Alegre - RS",50,   R$ 285.000   ,2,1,  --     
"  Apartamento com 3 Quartos à Venda, 86m²  ","Rua Gonçalves Dias, 1075 - Menino Deus, Porto Alegre - RS",86,   R$ 875.000   ,3,3,2
"  Apartamento com 3 Quartos à Venda, 121m²  ","Rua Vítor Meireles - Rio Branco, Porto Alegre - RS",121,   R$ 1.390.000   ,3,3,2
"  Apartamento com 2 Quartos à Venda, 70m²  ","Rua Padre Hildebrando, 585 - Santa Maria Goretti, Porto Alegre - RS",70,   R$ 320.000   ,2,2,1
"  Apartamento com 2 Quartos à Venda, 42m²  ","Estrada Barro Vermelho - Restinga, Porto Alegre - RS",42,   R$ 99.000   ,2,1,1
"  Apartamento com 2 Quartos à Venda, 58m²  ","Avenida Bento Gonçalves, 2549 - Partenon, Porto Alegre - RS",58,   R$ 170.000   ,2,1,  --     
"  Apartamento com 3 Quartos à Venda, 162m²  ","Rua Curvelo, 200 - Petrópolis, Porto Alegre - RS",162,   R$ 2.100.000   ,3,5,2
"  Apartamento com  Quarto à Venda, 60m²  ","Rua Amélia Teles, 489 - Petrópolis, Porto Alegre - RS",60,   R$ 220.000   ,1,1,  --     
"  Apartamento com 2 Quartos à Venda, 76m²  ","Rua Leite de Castro, 204 - Jardim Itu, Porto Alegre - RS",76,   R$ 430.000   ,2,1,2
"  Apartamento com 3 Quartos à Venda, 139m²  ","Rua Landel de Moura, 710 - Tristeza, Porto Alegre - RS",139,   R$ 800.000   ,3,3,1
"  Apartamento com 2 Quartos à Venda, 92m²  ","Rua Anita Garibaldi, 480 - Mont Serrat, Porto Alegre - RS",92,   R$ 550.000   ,2,3,1
"  Apartamento com 2 Quartos à Venda, 60m²  ","Rua Visconde de Macaé, 466 - Cristo Redentor, Porto Alegre - RS",60,   R$ 275.000   ,2,1,1
"  Apartamento com 2 Quartos à Venda, 73m²  ","Rua Rafael Saadi - Menino Deus, Porto Alegre - RS",73,   R$ 450.000   ,2,2,1
"  Apartamento com 2 Quartos à Venda, 72m²  ","Rua Tito Lívio Zambecari, 216 - Mont Serrat, Porto Alegre - RS",72,   R$ 395.000   ,2,2,1
"  Apartamento com 2 Quartos à Venda, 60m²  ","Avenida Mãe Apolinária Matias Batista - Morro Santana, Porto Alegre - RS",60,   R$ 168.000   ,2,1,1
"  Apartamento com 3 Quartos à Venda, 68m²  ","Rua Ney da Gama Ahrends, 295 - Morro Santana, Porto Alegre - RS",68,   R$ 235.000   ,3,2,1
"  Apartamento com 3 Quartos à Venda, 105m²  ","Rua Dário Pederneiras, 276 - Petrópolis, Porto Alegre - RS",105,   R$ 720.000   ,3,3,2
"  Apartamento com 3 Quartos à Venda, 62m²  ","Avenida Engenheiro Francisco Rodolfo Simch, 702 - Sarandi, Porto Alegre - RS",62,   R$ 257.000   ,3,1,1
"  Apartamento com 2 Quartos à Venda, 76m²  ","Rua Barbedo, 645 - Menino Deus, Porto Alegre - RS",76,   R$ 370.000   ,2,1,  --     
"  Apartamento com 2 Quartos à Venda, 78m²  ","Avenida Coronel Gastão Haslocher Mazeron, 109 - Medianeira, Porto Alegre - RS",78,   R$ 280.000   ,2,2,1
"  Apartamento com  Quarto à Venda, 44m²  ","Travessa Jaguarão, 77 - São João, Porto Alegre - RS",44,   R$ 269.000   ,1,1,1
"  Apartamento com 3 Quartos à Venda, 109m²  ","Rio Branco, Porto Alegre - RS",109,   R$ 385.000   ,3,2,1
"  Apartamento com 3 Quartos à Venda, 81m²  ","Rua Casemiro de Abreu, 170 - Bela Vista, Porto Alegre - RS",81,   R$ 350.000   ,3,1,  --     
"  Apartamento com 2 Quartos à Venda, 68m²  ","Rua São Luís, 662 - Santana, Porto Alegre - RS",68,   R$ 520.000   ,2,2,2
"  Apartamento com 3 Quartos à Venda, 83m²  ","Rua José Juliano, 60 - São Sebastião, Porto Alegre - RS",83,   R$ 532.000   ,3,2,2
"  Apartamento com 3 Quartos à Venda, 97m²  ","Rua Castro Alves, 312 - Independência, Porto Alegre - RS",97,   R$ 690.000   ,3,3,2
"  Apartamento com 3 Quartos à Venda, 152m²  ","Rua Ramiro Barcelos - Rio Branco, Porto Alegre - RS",152,   R$ 970.000   ,3,3,2
"  Apartamento com 2 Quartos à Venda, 82m²  ","Rua Coronel Bordini, 187 - Auxiliadora, Porto Alegre - RS",82,   R$ 350.000   ,2,1,  --     
"  Apartamento com 2 Quartos à Venda, 65m²  ","Rua Mucio Teixeira, 1400 - Menino Deus, Porto Alegre - RS",65,   R$ 350.000   ,2,1,  --     
"  Apartamento com 4 Quartos à Venda, 165m²  ","Rua Duque de Caxias, 925 - Centro Histórico, Porto Alegre - RS",165,   R$ 695.000   ,4,4,1
"  Apartamento com 4 Quartos à Venda, 317m²  ","Avenida João Obino, 331 - Petrópolis, Porto Alegre - RS",317,   R$ 5.048.163   ,4,5,4
"  Apartamento com 2 Quartos à Venda, 46m²  ","Avenida Protásio Alves, 9277 - Morro Santana, Porto Alegre - RS",46,   R$ 220.000   ,2,1,1
"  Apartamento com  Quarto à Venda, 46m²  ","Rua Gomes Jardim, 395 - Santana, Porto Alegre - RS",46,   R$ 349.000   ,1,1,  --     
"  Apartamento com 2 Quartos à Venda, 58m²  ","Rua Carlos Estevão, 855 - Jardim Leopoldina, Porto Alegre - RS",58,   R$ 159.000   ,2,1,  --     
"  Apartamento com 3 Quartos à Venda, 157m²  ","Rua Farnese, 190 - Bela Vista, Porto Alegre - RS",157,   R$ 1.560.000   ,3,5,3
"  Apartamento com 2 Quartos à Venda, 84m²  ","Rua Doutor Florêncio Ygartua - Moinhos de Vento, Porto Alegre - RS",84,   R$ 799.000   ,2,2,1
